apartment_id,building_id,location_code,apartment_type,activation_date,status
APT-001-001,BLDG-001,HYD-NORTH,1BHK,2026-03-23,ACTIVE
APT-001-002,BLDG-001,HYD-NORTH,2.5BHK,2026-01-04,ACTIVE
APT-001-003,BLDG-001,HYD-NORTH,2BHK,2026-02-01,ACTIVE
APT-001-004,BLDG-001,HYD-NORTH,1BHK,2026-01-18,ACTIVE
APT-001-005,BLDG-001,HYD-NORTH,1BHK,2026-03-28,ACTIVE
APT-001-006,BLDG-001,HYD-NORTH,3BHK,2026-03-17,ACTIVE
APT-001-007,BLDG-001,HYD-NORTH,1BHK,2026-01-05,ACTIVE
APT-001-008,BLDG-001,HYD-NORTH,2BHK,2026-01-12,ACTIVE
APT-001-009,BLDG-001,HYD-NORTH,1BHK,2026-01-30,ACTIVE
APT-001-010,BLDG-001,HYD-NORTH,2BHK,2026-03-13,ACTIVE
APT-001-011,BLDG-001,HYD-NORTH,3BHK,2026-04-02,ACTIVE
APT-001-012,BLDG-001,HYD-NORTH,3BHK,2026-01-29,ACTIVE
APT-001-013,BLDG-001,HYD-NORTH,2.5BHK,2026-03-17,ACTIVE
APT-001-014,BLDG-001,HYD-NORTH,1BHK,2026-04-14,ACTIVE
APT-001-015,BLDG-001,HYD-NORTH,2BHK,2026-04-08,ACTIVE
APT-001-016,BLDG-001,HYD-NORTH,3BHK,2026-03-31,ACTIVE
APT-001-017,BLDG-001,HYD-NORTH,2.5BHK,2026-02-13,ACTIVE
APT-001-018,BLDG-001,HYD-NORTH,2BHK,2026-01-20,ACTIVE
APT-001-019,BLDG-001,HYD-NORTH,2.5BHK,2026-04-08,ACTIVE
APT-001-020,BLDG-001,HYD-NORTH,1BHK,2026-01-14,ACTIVE
APT-001-021,BLDG-001,HYD-NORTH,1BHK,2026-02-18,ACTIVE
APT-001-022,BLDG-001,HYD-NORTH,2.5BHK,2026-02-15,ACTIVE
APT-001-023,BLDG-001,HYD-NORTH,2.5BHK,2026-03-19,ACTIVE
