building_id,location_code,building_type,status
BLDG-001,HYD-NORTH,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-002,HYD-EAST,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-003,HYD-WEST,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-004,HYD-CENTRAL,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-005,HYD-SOUTH,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-006,HYD-NORTH,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-007,HYD-EAST,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-008,HYD-WEST,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-009,HYD-CENTRAL,RESIDENTIAL_APARTMENT,ACTIVE
BLDG-010,HYD-SOUTH,RESIDENTIAL_APARTMENT,ACTIVE
