assignment_id,apartment_id,service_type,device_id,plan_id,effective_from,effective_to,assignment_status
ASG-W-001-001,APT-001-001,WATER,WTR-001-001,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-001,APT-001-001,RENTAL,RNT-001-001,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-002,APT-001-002,WATER,WTR-001-002,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-002,APT-001-002,RENTAL,RNT-001-002,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-003,APT-001-003,WATER,WTR-001-003,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-003,APT-001-003,RENTAL,RNT-001-003,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-004,APT-001-004,WATER,WTR-001-004,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-004,APT-001-004,RENTAL,RNT-001-004,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-005,APT-001-005,WATER,WTR-001-005,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-005,APT-001-005,RENTAL,RNT-001-005,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-006,APT-001-006,WATER,WTR-001-006,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-006,APT-001-006,RENTAL,RNT-001-006,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-007,APT-001-007,WATER,WTR-001-007,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-007,APT-001-007,RENTAL,RNT-001-007,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-008,APT-001-008,WATER,WTR-001-008,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-008,APT-001-008,RENTAL,RNT-001-008,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-009,APT-001-009,WATER,WTR-001-009,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-009,APT-001-009,RENTAL,RNT-001-009,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-010,APT-001-010,WATER,WTR-001-010,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-010,APT-001-010,RENTAL,RNT-001-010,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-011,APT-001-011,WATER,WTR-001-011,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-011,APT-001-011,RENTAL,RNT-001-011,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-012,APT-001-012,WATER,WTR-001-012,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-012,APT-001-012,RENTAL,RNT-001-012,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-013,APT-001-013,WATER,WTR-001-013,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-013,APT-001-013,RENTAL,RNT-001-013,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-014,APT-001-014,WATER,WTR-001-014,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-014,APT-001-014,RENTAL,RNT-001-014,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-015,APT-001-015,WATER,WTR-001-015,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-015,APT-001-015,RENTAL,RNT-001-015,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-016,APT-001-016,WATER,WTR-001-016,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-016,APT-001-016,RENTAL,RNT-001-016,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-017,APT-001-017,WATER,WTR-001-017,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-017,APT-001-017,RENTAL,RNT-001-017,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-018,APT-001-018,WATER,WTR-001-018,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-018,APT-001-018,RENTAL,RNT-001-018,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-019,APT-001-019,WATER,WTR-001-019,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-019,APT-001-019,RENTAL,RNT-001-019,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-020,APT-001-020,WATER,WTR-001-020,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-020,APT-001-020,RENTAL,RNT-001-020,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-021,APT-001-021,WATER,WTR-001-021,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-021,APT-001-021,RENTAL,RNT-001-021,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-022,APT-001-022,WATER,WTR-001-022,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-022,APT-001-022,RENTAL,RNT-001-022,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-023,APT-001-023,WATER,WTR-001-023,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-023,APT-001-023,RENTAL,RNT-001-023,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-024,APT-001-024,WATER,WTR-001-024,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-024,APT-001-024,RENTAL,RNT-001-024,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-025,APT-001-025,WATER,WTR-001-025,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-025,APT-001-025,RENTAL,RNT-001-025,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-026,APT-001-026,WATER,WTR-001-026,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-026,APT-001-026,RENTAL,RNT-001-026,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-027,APT-001-027,WATER,WTR-001-027,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-027,APT-001-027,RENTAL,RNT-001-027,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-028,APT-001-028,WATER,WTR-001-028,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-028,APT-001-028,RENTAL,RNT-001-028,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-029,APT-001-029,WATER,WTR-001-029,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-029,APT-001-029,RENTAL,RNT-001-029,RPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-030,APT-001-030,WATER,WTR-001-030,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-030,APT-001-030,RENTAL,RNT-001-030,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-031,APT-001-031,WATER,WTR-001-031,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-031,APT-001-031,RENTAL,RNT-001-031,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-032,APT-001-032,WATER,WTR-001-032,WPLAN-002,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-032,APT-001-032,RENTAL,RNT-001-032,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-033,APT-001-033,WATER,WTR-001-033,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-033,APT-001-033,RENTAL,RNT-001-033,RPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-034,APT-001-034,WATER,WTR-001-034,WPLAN-003,2026-01-01,2026-12-31,ACTIVE
ASG-R-001-034,APT-001-034,RENTAL,RNT-001-034,RPLAN-001,2026-01-01,2026-12-31,ACTIVE
ASG-W-001-035,APT-001-035,WATER,WTR-001-035,WPLAN-001,2026-01-01,2026-12-31,ACTIVE
