exception_id,event_date,apartment_id,service_type,exception_code,severity,status
EXC-0001,2026-08-06,APT-001-016,RENTAL,REVENUE_MISMATCH,MEDIUM,OPEN
EXC-0002,2026-06-30,APT-003-010,WATER,USAGE_ANOMALY,MEDIUM,RESOLVED
EXC-0003,2026-05-09,APT-001-018,BOTH,MISSING_INSTALLATION,HIGH,OPEN
EXC-0004,2026-09-13,APT-004-002,RENTAL,PLAN_CONFLICT,HIGH,RESOLVED
EXC-0005,2026-04-16,APT-001-045,RENTAL,PLAN_CONFLICT,LOW,RESOLVED
EXC-0006,2026-05-22,APT-007-030,BOTH,DUPLICATE_USAGE,HIGH,ESCALATED
EXC-0007,2026-04-05,APT-004-046,BOTH,USAGE_ANOMALY,MEDIUM,ESCALATED
EXC-0008,2026-08-03,APT-004-027,BOTH,MISSING_INSTALLATION,MEDIUM,RESOLVED
EXC-0009,2026-06-09,APT-002-043,WATER,USAGE_ANOMALY,HIGH,OPEN
EXC-0010,2026-04-08,APT-010-009,RENTAL,MISSING_USAGE,MEDIUM,ESCALATED
EXC-0011,2026-07-01,APT-008-043,BOTH,DUPLICATE_USAGE,LOW,OPEN
EXC-0012,2026-06-03,APT-007-037,WATER,USAGE_ANOMALY,HIGH,ESCALATED
EXC-0013,2026-04-15,APT-008-042,WATER,MISSING_INSTALLATION,MEDIUM,RESOLVED
EXC-0014,2026-05-15,APT-002-041,WATER,MISSING_INSTALLATION,MEDIUM,ESCALATED
EXC-0015,2026-09-26,APT-004-034,BOTH,MISSING_USAGE,HIGH,ESCALATED
EXC-0016,2026-06-30,APT-010-036,BOTH,MISSING_INSTALLATION,LOW,ESCALATED
EXC-0017,2026-05-19,APT-009-029,RENTAL,MISSING_INSTALLATION,MEDIUM,OPEN
EXC-0018,2026-08-04,APT-001-020,WATER,MISSING_USAGE,LOW,ESCALATED
EXC-0019,2026-05-27,APT-001-011,BOTH,PLAN_CONFLICT,LOW,RESOLVED
EXC-0020,2026-09-05,APT-003-004,WATER,USAGE_ANOMALY,HIGH,OPEN
EXC-0021,2026-06-22,APT-001-031,WATER,DUPLICATE_USAGE,HIGH,ESCALATED
EXC-0022,2026-05-07,APT-008-047,WATER,MISSING_INSTALLATION,MEDIUM,OPEN
EXC-0023,2026-07-05,APT-008-011,BOTH,PLAN_CONFLICT,HIGH,OPEN
EXC-0024,2026-06-26,APT-004-005,RENTAL,DUPLICATE_USAGE,LOW,ESCALATED
EXC-0025,2026-07-21,APT-009-006,BOTH,PLAN_CONFLICT,HIGH,RESOLVED
EXC-0026,2026-05-15,APT-008-013,BOTH,REVENUE_MISMATCH,HIGH,RESOLVED
EXC-0027,2026-05-28,APT-007-041,BOTH,DUPLICATE_USAGE,MEDIUM,RESOLVED
EXC-0028,2026-09-24,APT-004-001,WATER,DUPLICATE_USAGE,HIGH,OPEN
EXC-0029,2026-09-27,APT-010-036,BOTH,PLAN_CONFLICT,HIGH,OPEN
EXC-0030,2026-05-17,APT-007-009,RENTAL,MISSING_INSTALLATION,LOW,ESCALATED
EXC-0031,2026-08-23,APT-002-004,RENTAL,DUPLICATE_USAGE,MEDIUM,ESCALATED
EXC-0032,2026-04-20,APT-003-022,RENTAL,USAGE_ANOMALY,LOW,ESCALATED
EXC-0033,2026-04-23,APT-009-021,BOTH,REVENUE_MISMATCH,HIGH,ESCALATED
EXC-0034,2026-06-25,APT-005-029,WATER,USAGE_ANOMALY,LOW,OPEN
EXC-0035,2026-09-25,APT-001-035,RENTAL,USAGE_ANOMALY,LOW,ESCALATED
EXC-0036,2026-04-01,APT-001-025,RENTAL,PLAN_CONFLICT,HIGH,RESOLVED
EXC-0037,2026-05-13,APT-010-003,RENTAL,PLAN_CONFLICT,MEDIUM,RESOLVED
EXC-0038,2026-08-18,APT-004-043,WATER,PLAN_CONFLICT,HIGH,ESCALATED
EXC-0039,2026-09-23,APT-003-016,WATER,PLAN_CONFLICT,LOW,OPEN
EXC-0040,2026-06-15,APT-001-011,RENTAL,USAGE_ANOMALY,LOW,OPEN
EXC-0041,2026-06-27,APT-002-038,RENTAL,DUPLICATE_USAGE,HIGH,OPEN
EXC-0042,2026-08-19,APT-010-033,WATER,USAGE_ANOMALY,HIGH,ESCALATED
EXC-0043,2026-08-02,APT-008-011,WATER,PLAN_CONFLICT,HIGH,OPEN
EXC-0044,2026-09-03,APT-010-006,RENTAL,DUPLICATE_USAGE,LOW,OPEN
EXC-0045,2026-06-24,APT-003-006,WATER,PLAN_CONFLICT,HIGH,ESCALATED
EXC-0046,2026-08-17,APT-003-036,BOTH,USAGE_ANOMALY,MEDIUM,OPEN
EXC-0047,2026-04-25,APT-001-026,RENTAL,MISSING_INSTALLATION,HIGH,RESOLVED
EXC-0048,2026-05-10,APT-001-028,RENTAL,MISSING_USAGE,MEDIUM,OPEN
EXC-0049,2026-06-15,APT-009-022,BOTH,REVENUE_MISMATCH,HIGH,RESOLVED
EXC-0050,2026-05-22,APT-001-050,WATER,DUPLICATE_USAGE,LOW,ESCALATED
EXC-0051,2026-06-14,APT-001-042,RENTAL,MISSING_USAGE,MEDIUM,RESOLVED
EXC-0052,2026-07-30,APT-006-001,BOTH,USAGE_ANOMALY,LOW,ESCALATED
EXC-0053,2026-08-18,APT-004-049,WATER,USAGE_ANOMALY,MEDIUM,RESOLVED
EXC-0054,2026-05-18,APT-005-029,WATER,USAGE_ANOMALY,MEDIUM,RESOLVED
EXC-0055,2026-06-07,APT-003-016,RENTAL,MISSING_INSTALLATION,LOW,OPEN
EXC-0056,2026-09-26,APT-007-042,WATER,MISSING_USAGE,HIGH,RESOLVED
EXC-0057,2026-08-17,APT-005-012,BOTH,DUPLICATE_USAGE,HIGH,OPEN
EXC-0058,2026-07-09,APT-009-020,BOTH,PLAN_CONFLICT,HIGH,ESCALATED
EXC-0059,2026-07-31,APT-006-044,WATER,PLAN_CONFLICT,MEDIUM,OPEN
EXC-0060,2026-07-11,APT-010-013,BOTH,MISSING_USAGE,HIGH,ESCALATED
EXC-0061,2026-08-11,APT-009-010,BOTH,REVENUE_MISMATCH,HIGH,OPEN
