month,location_code,active_apartments,water_revenue,rental_revenue,total_revenue,manual_validation_cases
2026-04,HYD-NORTH,100,93835.55,123902.37,217737.92,3
2026-04,HYD-EAST,100,86349.57,88721.07,175070.64,4
2026-04,HYD-WEST,100,91918.62,105790.37,197708.99,6
2026-04,HYD-CENTRAL,100,78753.74,114915.98,193669.72,2
2026-04,HYD-SOUTH,100,80162.83,110488.63,190651.46,7
2026-05,HYD-NORTH,100,67244.91,107712.83,174957.74,7
2026-05,HYD-EAST,100,84873.32,90228.33,175101.65,5
2026-05,HYD-WEST,100,72829.73,97600.36,170430.09,7
2026-05,HYD-CENTRAL,100,86021.77,114414.11,200435.88,6
2026-05,HYD-SOUTH,100,78582.74,94344.45,172927.19,4
2026-06,HYD-NORTH,100,69083.36,115805.86,184889.22,2
2026-06,HYD-EAST,100,69662.32,91575.0,161237.32,8
2026-06,HYD-WEST,100,74421.0,89829.47,164250.47,6
2026-06,HYD-CENTRAL,100,93939.04,93305.45,187244.49,5
2026-06,HYD-SOUTH,100,78900.4,119099.29,197999.69,2
2026-07,HYD-NORTH,100,69728.46,112442.19,182170.65,1
2026-07,HYD-EAST,100,71450.62,119262.93,190713.55,3
2026-07,HYD-WEST,100,67736.39,94928.75,162665.14,6
2026-07,HYD-CENTRAL,100,76887.33,86958.02,163845.35,5
2026-07,HYD-SOUTH,100,72805.0,124627.06,197432.06,1
2026-08,HYD-NORTH,100,93562.9,119184.05,212746.95,4
2026-08,HYD-EAST,100,67841.76,89076.29,156918.05,3
2026-08,HYD-WEST,100,68643.6,87466.77,156110.37,4
2026-08,HYD-CENTRAL,100,68921.46,117946.94,186868.4,6
2026-08,HYD-SOUTH,100,85588.56,122503.0,208091.56,2
2026-09,HYD-NORTH,100,82469.71,95352.83,177822.54,2
2026-09,HYD-EAST,100,65654.01,87578.88,153232.89,8
2026-09,HYD-WEST,100,89278.96,88679.15,177958.11,6
2026-09,HYD-CENTRAL,100,68675.83,122691.23,191367.06,1
2026-09,HYD-SOUTH,100,70039.68,107955.37,177995.05,7
