device_id,apartment_id,service_type,device_type,installation_date,activation_date,deactivation_date,device_status,api_status,endpoint
WTR-001-001,APT-001-001,WATER,SMART_WATER_METER,2026-03-23,2026-03-23,,ACTIVE,200,/api/v1/devices
RNT-001-001,APT-001-001,RENTAL,WATER_PURIFIER,2026-04-03,2026-04-07,,ACTIVE,200,/api/v1/devices
WTR-001-002,APT-001-002,WATER,SMART_WATER_METER,2026-01-04,2026-01-04,,ACTIVE,200,/api/v1/devices
RNT-001-002,APT-001-002,RENTAL,UTILITY_CONTROLLER,2026-01-18,2026-01-05,,ACTIVE,200,/api/v1/devices
WTR-001-003,APT-001-003,WATER,SMART_WATER_METER,2026-02-01,2026-02-01,,ACTIVE,200,/api/v1/devices
RNT-001-003,APT-001-003,RENTAL,WATER_PURIFIER,2026-02-09,2026-02-05,,ACTIVE,200,/api/v1/devices
WTR-001-004,APT-001-004,WATER,SMART_WATER_METER,2026-01-18,2026-01-18,,ACTIVE,200,/api/v1/devices
RNT-001-004,APT-001-004,RENTAL,SMART_APPLIANCE,2026-02-01,2026-02-02,,ACTIVE,200,/api/v1/devices
WTR-001-005,APT-001-005,WATER,SMART_WATER_METER,2026-03-28,2026-03-28,,ACTIVE,200,/api/v1/devices
RNT-001-005,APT-001-005,RENTAL,WATER_PURIFIER,2026-03-28,2026-04-04,,ACTIVE,200,/api/v1/devices
WTR-001-006,APT-001-006,WATER,SMART_WATER_METER,2026-03-17,2026-03-17,,ACTIVE,200,/api/v1/devices
RNT-001-006,APT-001-006,RENTAL,UTILITY_CONTROLLER,2026-03-22,2026-03-26,,ACTIVE,200,/api/v1/devices
WTR-001-007,APT-001-007,WATER,SMART_WATER_METER,2026-01-05,2026-01-05,,ACTIVE,200,/api/v1/devices
RNT-001-007,APT-001-007,RENTAL,UTILITY_CONTROLLER,2026-01-05,2026-01-18,,ACTIVE,200,/api/v1/devices
WTR-001-008,APT-001-008,WATER,SMART_WATER_METER,2026-01-12,2026-01-12,,ACTIVE,200,/api/v1/devices
RNT-001-008,APT-001-008,RENTAL,WATER_PURIFIER,2026-01-19,2026-01-15,,ACTIVE,200,/api/v1/devices
WTR-001-009,APT-001-009,WATER,SMART_WATER_METER,2026-01-30,2026-01-30,,ACTIVE,200,/api/v1/devices
RNT-001-009,APT-001-009,RENTAL,SMART_APPLIANCE,2026-02-02,2026-02-03,,ACTIVE,200,/api/v1/devices
WTR-001-010,APT-001-010,WATER,SMART_WATER_METER,2026-03-13,2026-03-13,,ACTIVE,200,/api/v1/devices
RNT-001-010,APT-001-010,RENTAL,SMART_APPLIANCE,2026-03-22,2026-03-21,,ACTIVE,200,/api/v1/devices
WTR-001-011,APT-001-011,WATER,SMART_WATER_METER,2026-04-02,2026-04-02,,ACTIVE,200,/api/v1/devices
RNT-001-011,APT-001-011,RENTAL,SMART_APPLIANCE,2026-04-17,2026-04-17,,ACTIVE,200,/api/v1/devices
WTR-001-012,APT-001-012,WATER,SMART_WATER_METER,2026-01-29,2026-01-29,,ACTIVE,200,/api/v1/devices
RNT-001-012,APT-001-012,RENTAL,WATER_PURIFIER,2026-02-12,2026-02-02,,ACTIVE,200,/api/v1/devices
WTR-001-013,APT-001-013,WATER,SMART_WATER_METER,2026-03-17,2026-03-17,,ACTIVE,200,/api/v1/devices
RNT-001-013,APT-001-013,RENTAL,SMART_APPLIANCE,2026-03-23,2026-03-21,,ACTIVE,200,/api/v1/devices
WTR-001-014,APT-001-014,WATER,SMART_WATER_METER,2026-04-14,2026-04-14,,ACTIVE,200,/api/v1/devices
RNT-001-014,APT-001-014,RENTAL,WATER_PURIFIER,2026-04-22,2026-04-27,,ACTIVE,200,/api/v1/devices
WTR-001-015,APT-001-015,WATER,SMART_WATER_METER,2026-04-08,2026-04-08,,ACTIVE,200,/api/v1/devices
RNT-001-015,APT-001-015,RENTAL,SMART_APPLIANCE,2026-04-16,2026-04-08,,ACTIVE,200,/api/v1/devices
WTR-001-016,APT-001-016,WATER,SMART_WATER_METER,2026-03-31,2026-03-31,,ACTIVE,200,/api/v1/devices
RNT-001-016,APT-001-016,RENTAL,SMART_APPLIANCE,2026-04-09,2026-04-15,,ACTIVE,200,/api/v1/devices
WTR-001-017,APT-001-017,WATER,SMART_WATER_METER,2026-02-13,2026-02-13,,ACTIVE,200,/api/v1/devices
RNT-001-017,APT-001-017,RENTAL,WATER_PURIFIER,2026-02-27,2026-02-28,,ACTIVE,200,/api/v1/devices
WTR-001-018,APT-001-018,WATER,SMART_WATER_METER,2026-01-20,2026-01-20,,ACTIVE,200,/api/v1/devices
RNT-001-018,APT-001-018,RENTAL,SMART_APPLIANCE,2026-01-30,2026-02-01,,ACTIVE,200,/api/v1/devices
WTR-001-019,APT-001-019,WATER,SMART_WATER_METER,2026-04-08,2026-04-08,,ACTIVE,200,/api/v1/devices
RNT-001-019,APT-001-019,RENTAL,SMART_APPLIANCE,2026-04-18,2026-04-14,,ACTIVE,200,/api/v1/devices
WTR-001-020,APT-001-020,WATER,SMART_WATER_METER,2026-01-14,2026-01-14,,ACTIVE,200,/api/v1/devices
RNT-001-020,APT-001-020,RENTAL,UTILITY_CONTROLLER,2026-01-21,2026-01-26,,ACTIVE,200,/api/v1/devices
WTR-001-021,APT-001-021,WATER,SMART_WATER_METER,2026-02-18,2026-02-18,,ACTIVE,200,/api/v1/devices
RNT-001-021,APT-001-021,RENTAL,WATER_PURIFIER,2026-03-03,2026-02-19,,ACTIVE,200,/api/v1/devices
WTR-001-022,APT-001-022,WATER,SMART_WATER_METER,2026-02-15,2026-02-15,,ACTIVE,200,/api/v1/devices
