billing_month,apartment_id,location_code,water_device_id,rental_device_id,water_plan_id,rental_plan_id,water_active_days,rental_active_days,water_usage_m3,water_revenue,rental_revenue,total_revenue,validation_flag,exception_code
2026-09,APT-001-001,HYD-NORTH,WTR-001-001,RNT-001-001,WPLAN-001,RPLAN-003,30,177,11.381,548.34,9440.0,9988.34,PASS,
2026-09,APT-001-002,HYD-NORTH,WTR-001-002,RNT-001-002,WPLAN-001,RPLAN-001,30,269,19.27,824.45,7173.33,7997.78,PASS,
2026-09,APT-001-003,HYD-NORTH,WTR-001-003,RNT-001-003,WPLAN-002,RPLAN-001,30,238,16.335,853.4,6346.67,7200.07,PASS,
2026-09,APT-001-004,HYD-NORTH,WTR-001-004,RNT-001-004,WPLAN-003,RPLAN-001,30,241,11.352,844.9,6426.67,7271.57,PASS,
2026-09,APT-001-005,HYD-NORTH,WTR-001-005,RNT-001-005,WPLAN-001,RPLAN-003,30,180,10.958,533.53,9600.0,10133.53,PASS,
2026-09,APT-001-006,HYD-NORTH,WTR-001-006,RNT-001-006,WPLAN-001,RPLAN-001,30,189,22.26,929.1,5040.0,5969.1,PASS,
2026-09,APT-001-007,HYD-NORTH,WTR-001-007,RNT-001-007,WPLAN-001,RPLAN-003,30,256,11.176,541.16,13653.33,14194.49,PASS,
2026-09,APT-001-008,HYD-NORTH,WTR-001-008,RNT-001-008,WPLAN-002,RPLAN-002,30,259,16.782,871.28,10360.0,11231.28,PASS,
2026-09,APT-001-009,HYD-NORTH,WTR-001-009,RNT-001-009,WPLAN-001,RPLAN-003,30,240,11.63,557.05,12800.0,13357.05,PASS,
2026-09,APT-001-010,HYD-NORTH,WTR-001-010,RNT-001-010,WPLAN-003,RPLAN-003,30,194,16.02,1068.96,10346.67,11415.63,PASS,
2026-09,APT-001-011,HYD-NORTH,WTR-001-011,RNT-001-011,WPLAN-003,RPLAN-002,30,167,21.021,1309.01,6680.0,7989.01,PASS,
2026-09,APT-001-012,HYD-NORTH,WTR-001-012,RNT-001-012,WPLAN-003,RPLAN-002,30,241,21.806,1346.69,9640.0,10986.69,PASS,
2026-09,APT-001-013,HYD-NORTH,WTR-001-013,RNT-001-013,WPLAN-001,RPLAN-001,30,194,18.509,797.82,5173.33,5971.15,PASS,
2026-09,APT-001-014,HYD-NORTH,WTR-001-014,RNT-001-014,WPLAN-003,RPLAN-003,30,157,11.84,868.32,8373.33,9241.65,PASS,
2026-09,APT-001-015,HYD-NORTH,WTR-001-015,RNT-001-015,WPLAN-002,RPLAN-001,30,176,16.402,856.08,4693.33,5549.41,PASS,
2026-09,APT-001-016,HYD-NORTH,WTR-001-016,RNT-001-016,WPLAN-001,RPLAN-003,30,169,22.623,941.8,9013.33,9955.13,PASS,
2026-09,APT-001-017,HYD-NORTH,WTR-001-017,RNT-001-017,WPLAN-003,RPLAN-002,30,215,19.474,1234.75,8600.0,9834.75,PASS,
2026-09,APT-001-018,HYD-NORTH,WTR-001-018,RNT-001-018,WPLAN-003,RPLAN-002,30,242,16.913,1111.82,9680.0,10791.82,PASS,
2026-09,APT-001-019,HYD-NORTH,WTR-001-019,RNT-001-019,WPLAN-001,RPLAN-003,30,170,18.049,781.72,9066.67,9848.39,PASS,
2026-09,APT-001-020,HYD-NORTH,WTR-001-020,RNT-001-020,WPLAN-003,RPLAN-003,30,248,11.297,842.26,13226.67,14068.93,PASS,
2026-09,APT-001-021,HYD-NORTH,WTR-001-021,RNT-001-021,WPLAN-002,RPLAN-001,30,224,11.33,653.2,5973.33,6626.53,PASS,
2026-09,APT-001-022,HYD-NORTH,WTR-001-022,RNT-001-022,WPLAN-001,RPLAN-001,30,216,19.36,827.6,5760.0,6587.6,PASS,
2026-09,APT-001-023,HYD-NORTH,WTR-001-023,RNT-001-023,WPLAN-003,RPLAN-001,30,181,18.841,1204.37,4826.67,6031.04,PASS,
2026-09,APT-001-024,HYD-NORTH,WTR-001-024,RNT-001-024,WPLAN-001,RPLAN-001,30,160,11.053,536.86,4266.67,4803.53,PASS,
2026-09,APT-001-025,HYD-NORTH,WTR-001-025,RNT-001-025,WPLAN-003,RPLAN-003,30,177,24.094,1456.51,9440.0,10896.51,PASS,
2026-09,APT-001-026,HYD-NORTH,WTR-001-026,RNT-001-026,WPLAN-002,RPLAN-002,30,205,11.008,640.32,8200.0,8840.32,PASS,
2026-09,APT-001-027,HYD-NORTH,WTR-001-027,RNT-001-027,WPLAN-002,RPLAN-002,30,142,21.481,1059.24,5680.0,6739.24,PASS,
