usage_id,device_id,apartment_id,usage_date,consumption_m3
USE-20260401-001-001,WTR-001-001,APT-001-001,2026-04-01,0.422
USE-20260401-001-002,WTR-001-002,APT-001-002,2026-04-01,0.601
USE-20260401-001-003,WTR-001-003,APT-001-003,2026-04-01,0.628
USE-20260401-001-004,WTR-001-004,APT-001-004,2026-04-01,0.507
USE-20260401-001-005,WTR-001-005,APT-001-005,2026-04-01,0.36
USE-20260401-001-006,WTR-001-006,APT-001-006,2026-04-01,0.683
USE-20260401-001-007,WTR-001-007,APT-001-007,2026-04-01,0.512
USE-20260401-001-008,WTR-001-008,APT-001-008,2026-04-01,0.643
USE-20260401-001-009,WTR-001-009,APT-001-009,2026-04-01,0.341
USE-20260401-001-010,WTR-001-010,APT-001-010,2026-04-01,0.616
USE-20260401-001-011,WTR-001-011,APT-001-011,2026-04-01,0.647
USE-20260401-001-012,WTR-001-012,APT-001-012,2026-04-01,0.646
USE-20260401-001-013,WTR-001-013,APT-001-013,2026-04-01,0.653
USE-20260401-001-014,WTR-001-014,APT-001-014,2026-04-01,0.22
USE-20260401-001-015,WTR-001-015,APT-001-015,2026-04-01,0.341
USE-20260401-001-016,WTR-001-016,APT-001-016,2026-04-01,0.631
USE-20260401-001-017,WTR-001-017,APT-001-017,2026-04-01,0.482
USE-20260401-001-018,WTR-001-018,APT-001-018,2026-04-01,0.588
USE-20260401-001-019,WTR-001-019,APT-001-019,2026-04-01,0.496
USE-20260401-001-020,WTR-001-020,APT-001-020,2026-04-01,0.262
USE-20260401-001-021,WTR-001-021,APT-001-021,2026-04-01,0.503
USE-20260401-001-022,WTR-001-022,APT-001-022,2026-04-01,0.589
USE-20260401-001-023,WTR-001-023,APT-001-023,2026-04-01,0.629
USE-20260401-001-024,WTR-001-024,APT-001-024,2026-04-01,0.261
USE-20260401-001-025,WTR-001-025,APT-001-025,2026-04-01,0.634
USE-20260401-001-026,WTR-001-026,APT-001-026,2026-04-01,0.389
USE-20260401-001-027,WTR-001-027,APT-001-027,2026-04-01,0.538
USE-20260401-001-028,WTR-001-028,APT-001-028,2026-04-01,0.671
USE-20260401-001-029,WTR-001-029,APT-001-029,2026-04-01,0.538
USE-20260401-001-030,WTR-001-030,APT-001-030,2026-04-01,0.515
USE-20260401-001-031,WTR-001-031,APT-001-031,2026-04-01,0.33
USE-20260401-001-032,WTR-001-032,APT-001-032,2026-04-01,0.774
USE-20260401-001-033,WTR-001-033,APT-001-033,2026-04-01,0.618
USE-20260401-001-034,WTR-001-034,APT-001-034,2026-04-01,0.422
USE-20260401-001-035,WTR-001-035,APT-001-035,2026-04-01,0.449
USE-20260401-001-036,WTR-001-036,APT-001-036,2026-04-01,0.453
USE-20260401-001-037,WTR-001-037,APT-001-037,2026-04-01,0.648
USE-20260401-001-038,WTR-001-038,APT-001-038,2026-04-01,0.353
USE-20260401-001-039,WTR-001-039,APT-001-039,2026-04-01,0.389
USE-20260401-001-040,WTR-001-040,APT-001-040,2026-04-01,0.647
USE-20260401-001-041,WTR-001-041,APT-001-041,2026-04-01,0.442
USE-20260401-001-042,WTR-001-042,APT-001-042,2026-04-01,0.571
